"AC 190 gr / NBA / 79x109,""rim-pln"",""0"",""0"",""0"","""""
"AC 190 gr / NBA / 79x109,""lembar"",""0"",""0"",""0"","""""
"AC 190 gr / PD / 65x100,""rim-pln"",""965000"",""913900"",""2"","""""
"AC 190 gr / PD / 65x100,""lembar"",""2100"",""1827"",""296"","""""
"AC 190 gr / PD / 79x109,""rim-pln"",""1265000"",""1202596"",""8"","""""
"AC 190 gr / PD / 79x109,""lembar"",""2700"",""2405"",""474"","""""
"AC 210 gr / PD / 65x100,""rim-pln"",""1065000"",""1016925"",""10"","""""
"AC 210 gr / PD / 65x100,""lembar"",""2300"",""2033"",""393"","""""
"AC 210 gr / PD / 79x109,""rim-pln"",""1395000"",""1329107"",""1"","""""
"AC 210 gr / PD / 79x109,""lembar"",""3000"",""2658"",""260"","""""
"AC 230 gr / PD / 65x100,""rim-pln"",""1160000"",""1106300"",""7"","""""
"AC 230 gr / PD / 65x100,""lembar"",""2500"",""2212"",""73"","""""
"AC 230 gr / PD / 65x90,""rim-pln"",""0"",""0"",""0"","""""
"AC 230 gr / PD / 65x90,""lembar"",""0"",""0"",""0"","""""
"AC 230 gr / PD / 79x109,""rim-pln"",""1525000"",""1455689"",""1"","""""
"AC 230 gr / PD / 79x109,""lembar"",""3250"",""2911"",""14"","""""
"AC 260 gr / NBA / 79x109,""lembar"",""3450"",""3223"",""258"","""""
"AC 260 gr / PD / 65x100,""rim-pln"",""1300000"",""1233700"",""5"","""""
"AC 260 gr / PD / 65x100,""lembar"",""2750"",""2467"",""171"","""""
"AC 260 gr / PD / 65x90,""rim-pln"",""0"",""0"",""0"","""""
"AC 260 gr / PD / 65x90,""lembar"",""0"",""0"",""0"","""""
"AC 260 gr / PD / 79x109,""rim-pln"",""1750000"",""1667950"",""5"","""""
"AC 260 gr / PD / 79x109,""lembar"",""3650"",""3335"",""375"","""""
"AC 310 gr / PD / 65x100,""rim-pln"",""1625000"",""1551550"",""5"","""""
"AC 310 gr / PD / 65x100,""lembar"",""3400"",""3103"",""159"","""""
"AC 310 gr / PD / 79x109,""rim-pln"",""2158217"",""2055445"",""3"","""""
"AC 310 gr / PD / 79x109,""lembar"",""4400"",""4110"",""242"","""""
"AC 360 gr / PD / 65x100,""rim-pln"",""0"",""0"",""0"","""""
"AC 360 gr / PD / 65x100,""lembar"",""4020"",""3603"",""268"","""""
"AC 360 gr / PD / 79x109,""rim-pln"",""0"",""0"",""0"","""""
"AC 360 gr / PD / 79x109,""lembar"",""5100"",""4773"",""104"","""""
"AC 400 gr / PD / 65x100,""rim-pln"",""0"",""0"",""0"","""""
"AC 400 gr / PD / 65x100,""lembar"",""0"",""0"",""0"","""""
"AC 400 gr / PD / 79x109,""rim-pln"",""0"",""0"",""0"","""""
"AC 400 gr / PD / 79x109,""lembar"",""0"",""0"",""0"","""""
"Amplop Concorde biru muda,""pak"",""0"",""0"",""0"","""""
"Amplop Concorde cream,""pak"",""0"",""0"",""0"","""""
"Amplop Concorde putih,""pak"",""0"",""0"",""0"","""""
"Amplop Jaya 90,""pak"",""18500"",""16500"",""19"","""""
"Amplop JPLUS 90/80 gr -biru,""pak"",""17500"",""15500"",""106"","""""
"Amplop JPLUS 90/90 gr -merah,""pak"",""18500"",""16500"",""2"","""""
"Amplop JPLUS tanggung,""pak"",""14500"",""11750"",""6"","""""
"Amplop Paperline biru 90,""pak"",""17500"",""16500"",""27"","""""
"Amplop Paperline tanggung,""pak"",""0"",""0"",""0"","""""
"Amplop Royal 90,""pak"",""0"",""0"",""0"","""""
"Amplop Royal tanggung,""pak"",""0"",""0"",""0"","""""
"Amplop Samson B,""pak"",""16000"",""13500"",""26"","""""
"Amplop Samson C,""pak"",""21500"",""18750"",""35"","""""
"Amplop Samson D,""pak"",""32000"",""27000"",""4"","""""
"Amplop Samson E,""pak"",""38500"",""34650"",""40"","""""
"AP 100 gr / NBA / 65x100,""lembar"",""1100"",""890"",""200"","""""
"AP 100 gr / NEVIA / 60x86,""rim-pln"",""0"",""0"",""0"","""""
"AP 100 gr / NEVIA / 65x100,""rim-pln"",""0"",""0"",""0"","""""
"AP 100 gr / NEVIA / 65x100,""lembar"",""1100"",""955"",""400"","""""
"AP 100 gr / VICTORY / 65x100,""rim-pln"",""475000"",""445250"",""2"","""""
"AP 100 gr/ NBA / 79x109,""rim-pln"",""0"",""0"",""0"","""""
"AP 100 gr/ NBA / 79x109,""lembar"",""0"",""0"",""0"","""""
"AP 118 gr / Import / 65x100,""lembar"",""0"",""0"",""0"","""""
"AP 120 gr / NEVIA / 65x100,""rim-pln"",""610000"",""573300"",""18"","""""
"AP 120 gr / NEVIA / 65x100,""lembar"",""1300"",""1146"",""35"","""""
"AP 120 gr / NEVIA / 79x109,""rim-pln"",""745000"",""707824"",""6"","""""
"AP 120 gr / NEVIA / 79x109,""lembar"",""1700"",""1518"",""100"","""""
"AP 120 gr/ NBA / 65x100,""rim-pln"",""0"",""0"",""0"","""""
"AP 120 gr/ NBA / 65x100,""lembar"",""0"",""0"",""0"","""""
"AP 120 gr/ NBA / 79x109,""lembar"",""1750"",""1415"",""20"","""""
"AP 120 gr/ PINDO / 65x100,""rim-pln"",""0"",""0"",""0"","""""
"AP 120 gr/ PINDO / 65x100,""lembar"",""0"",""0"",""0"","""""
"AP 150 gr / NEVIA / 61x86,""rim-pln"",""0"",""0"",""0"","""""
"AP 150 gr / NEVIA / 61x86,""lembar"",""0"",""0"",""0"","""""
"AP 150 gr / NEVIA / 65x100,""rim-pln"",""755000"",""716625"",""14"","""""
"AP 150 gr / NEVIA / 65x100,""lembar"",""1650"",""1483"",""80"","""""
"AP 150 gr / NEVIA / 79x109,""rim-pln"",""965000"",""884780"",""14"","""""
"AP 150 gr / NEVIA / 79x109,""lembar"",""0"",""0"",""0"","""""
"AP 150 gr/ NBA / 65x100,""rim-pln"",""0"",""0"",""0"","""""
"AP 150 gr/ NBA / 65x100,""lembar"",""0"",""0"",""0"","""""
"AP 150 gr/ NBA / 65x90,""lembar"",""0"",""0"",""0"","""""
"AP 150 gr/ PINDO / 65x90,""rim-pln"",""0"",""0"",""0"","""""
"AP 150 gr/ PINDO / 65x90,""lembar"",""0"",""0"",""0"","""""
"AP 85 gr / NEVIA / 61x86,""rim-pln"",""365000"",""334432"",""6"","""""
"AP 85 gr / NEVIA / 61x86,""lembar"",""730"",""668"",""250"","""""
"BC Buffalo dof putih polos,""pak"",""20000"",""17500"",""28"","""""
"BC JANGKAR 150 gr/61 x 86 /biru,""rim-pln"",""635000"",""599185"",""1"","""""
"BC JANGKAR 150 gr/61 x 86 /biru,""lembar"",""1600"",""1198"",""100"","""""
"BC JANGKAR 150 gr/61 x 86 /hijau,""rim-pln"",""635000"",""599185"",""1"","""""
"BC JANGKAR 150 gr/61 x 86 /hijau,""lembar"",""0"",""0"",""0"","""""
"BC JANGKAR 150 gr/61 x 86 /kuning,""rim-pln"",""635000"",""599185"",""1"","""""
"BC JANGKAR 150 gr/61 x 86 /kuning,""lembar"",""1600"",""1198"",""49"","""""
